source,policy,true_class,decision,error,tau,Nweak,Nstrong,unlocked,cap_hit
mock fallback — NOT REPORTABLE,gated,2,2,0,88,78,10,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,54,33,21,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,111,101,10,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,55,48,7,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,44,42,2,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,14,8,6,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,38,20,18,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,98,93,5,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,51,49,2,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,25,20,5,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,48,40,8,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,135,132,3,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,30,29,1,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,163,150,13,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,36,34,2,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,22,10,12,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,212,187,25,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,24,20,4,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,36,21,15,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,32,21,11,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,21,15,6,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,21,7,14,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,33,32,1,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,36,27,9,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,30,29,1,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,35,34,1,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,50,45,5,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,61,24,37,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,52,47,5,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,163,149,14,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,50,30,20,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,99,96,3,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,62,60,2,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,54,48,6,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,71,70,1,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,36,34,2,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,24,17,7,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,44,43,1,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,24,23,1,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,74,68,6,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,55,45,10,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,20,7,13,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,62,53,9,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,137,129,8,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,74,64,10,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,38,18,20,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,15,10,5,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,68,54,14,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,40,9,31,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,31,18,13,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,16,9,7,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,22,7,15,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,79,63,16,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,63,61,2,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,34,10,24,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,67,53,14,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,54,46,8,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,116,104,12,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,67,65,2,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,21,11,10,1,0
mock fallback — NOT REPORTABLE,gated,2,2,0,36,29,7,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,75,65,10,1,0
mock fallback — NOT REPORTABLE,gated,3,5,1,29,25,4,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,57,43,14,1,0
mock fallback — NOT REPORTABLE,gated,3,4,1,61,16,45,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,45,31,14,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,71,65,6,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,46,40,6,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,114,87,27,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,23,16,7,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,64,53,11,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,161,145,16,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,99,93,6,1,0
mock fallback — NOT REPORTABLE,gated,3,5,1,75,73,2,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,96,51,45,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,87,71,16,1,0
mock fallback — NOT REPORTABLE,gated,3,4,1,101,75,26,1,0
mock fallback — NOT REPORTABLE,gated,3,2,1,70,43,27,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,107,102,5,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,43,10,33,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,67,6,61,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,55,43,12,1,0
mock fallback — NOT REPORTABLE,gated,3,4,1,34,16,18,1,0
mock fallback — NOT REPORTABLE,gated,3,5,1,40,36,4,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,133,79,54,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,113,89,24,1,0
mock fallback — NOT REPORTABLE,gated,3,1,1,100,97,3,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,43,40,3,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,88,42,46,1,0
mock fallback — NOT REPORTABLE,gated,3,4,1,86,70,16,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,36,31,5,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,87,57,30,1,0
mock fallback — NOT REPORTABLE,gated,3,1,1,71,70,1,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,103,91,12,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,122,58,64,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,89,32,57,1,0
mock fallback — NOT REPORTABLE,gated,3,1,1,78,73,5,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,140,106,34,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,94,85,9,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,82,79,3,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,138,130,8,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,90,85,5,1,0
mock fallback — NOT REPORTABLE,gated,3,1,1,91,90,1,1,0
mock fallback — NOT REPORTABLE,gated,3,5,1,133,128,5,1,0
mock fallback — NOT REPORTABLE,gated,3,2,1,164,76,88,1,0
mock fallback — NOT REPORTABLE,gated,3,2,1,39,31,8,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,97,89,8,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,83,31,52,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,54,53,1,1,0
mock fallback — NOT REPORTABLE,gated,3,2,1,72,47,25,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,151,90,61,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,40,33,7,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,60,31,29,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,82,53,29,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,72,65,7,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,94,11,83,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,69,55,14,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,51,47,4,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,50,40,10,1,0
mock fallback — NOT REPORTABLE,gated,3,1,1,74,73,1,1,0
mock fallback — NOT REPORTABLE,gated,3,5,1,28,26,2,1,0
mock fallback — NOT REPORTABLE,gated,3,2,1,69,33,36,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,72,51,21,1,0
mock fallback — NOT REPORTABLE,gated,3,5,1,103,102,1,1,0
mock fallback — NOT REPORTABLE,gated,3,2,1,56,31,25,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,51,49,2,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,27,25,2,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,65,62,3,1,0
mock fallback — NOT REPORTABLE,gated,3,2,1,34,22,12,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,116,106,10,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,85,68,17,1,0
mock fallback — NOT REPORTABLE,gated,3,1,1,73,66,7,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,59,56,3,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,263,232,31,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,247,239,8,1,0
mock fallback — NOT REPORTABLE,gated,3,2,1,99,79,20,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,82,75,7,1,0
mock fallback — NOT REPORTABLE,gated,3,5,1,100,92,8,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,122,109,13,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,125,31,94,1,0
mock fallback — NOT REPORTABLE,gated,3,2,1,62,34,28,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,60,43,17,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,62,44,18,1,0
mock fallback — NOT REPORTABLE,gated,3,5,1,36,35,1,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,92,58,34,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,93,78,15,1,0
mock fallback — NOT REPORTABLE,gated,3,2,1,106,46,60,1,0
mock fallback — NOT REPORTABLE,gated,3,2,1,40,22,18,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,54,33,21,1,0
mock fallback — NOT REPORTABLE,gated,3,2,1,59,37,22,1,0
mock fallback — NOT REPORTABLE,gated,3,2,1,34,22,12,1,0
mock fallback — NOT REPORTABLE,gated,3,2,1,67,40,27,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,42,23,19,1,0
mock fallback — NOT REPORTABLE,gated,3,4,1,59,51,8,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,57,13,44,1,0
mock fallback — NOT REPORTABLE,gated,3,4,1,152,136,16,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,47,29,18,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,59,52,7,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,41,30,11,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,52,41,11,1,0
mock fallback — NOT REPORTABLE,gated,3,3,0,112,106,6,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,34,33,1,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,152,145,7,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,81,21,60,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,47,46,1,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,56,54,2,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,58,53,5,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,43,41,2,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,29,21,8,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,144,105,39,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,52,36,16,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,62,61,1,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,184,169,15,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,60,34,26,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,66,55,11,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,129,128,1,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,83,79,4,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,16,15,1,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,75,63,12,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,32,30,2,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,106,103,3,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,43,37,6,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,119,97,22,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,63,42,21,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,122,111,11,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,120,118,2,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,70,68,2,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,135,88,47,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,165,131,34,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,38,36,2,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,85,84,1,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,83,82,1,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,72,51,21,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,27,12,15,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,94,92,2,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,53,35,18,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,165,115,50,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,74,47,27,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,83,46,37,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,57,43,14,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,67,37,30,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,113,99,14,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,97,94,3,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,112,43,69,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,107,69,38,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,144,98,46,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,97,95,2,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,167,139,28,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,44,24,20,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,275,180,95,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,30,15,15,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,41,10,31,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,60,46,14,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,45,40,5,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,97,87,10,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,32,14,18,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,75,59,16,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,83,82,1,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,23,11,12,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,276,247,29,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,110,34,76,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,75,72,3,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,30,22,8,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,68,65,3,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,93,82,11,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,80,79,1,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,84,64,20,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,34,31,3,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,42,32,10,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,87,79,8,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,93,89,4,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,91,46,45,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,168,150,18,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,106,102,4,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,66,26,40,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,65,60,5,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,89,66,23,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,56,54,2,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,58,47,11,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,112,85,27,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,81,76,5,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,78,58,20,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,49,47,2,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,31,24,7,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,63,50,13,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,43,41,2,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,79,73,6,1,0
